Year-Month,Amplitude
2015-01,3.23
2015-02,3.59
2015-03,1.78
2015-04,2.1
2015-05,1.88
2015-06,1.5
2015-07,3.0
2015-08,4.15
2015-09,2.17
2015-10,2.76
2015-11,2.56
2015-12,3.44
2016-01,2.98
2016-02,1.11
2016-03,2.26
2016-04,4.59
2016-05,2.52
2016-06,1.9
2016-07,2.34
2016-08,1.25
2016-09,3.11
2016-10,1.43
2016-11,1.52
2016-12,2.04
2017-01,1.48
2017-02,2.15
2017-03,1.36
2017-04,1.02
2017-05,2.39
2017-06,3.29
2017-07,2.68
2017-08,3.49
2017-09,3.38
2017-10,3.89
2017-11,2.34
2017-12,1.85
2018-01,3.07
2018-02,5.96
2018-03,4.19
2018-04,3.98
2018-05,5.23
2018-06,2.95
2018-07,2.73
2018-08,6.53
2018-09,2.67
2018-10,4.96
2018-11,12.48
2018-12,9.5
2019-01,6.06
2019-02,2.09
2019-03,5.65
2019-04,4.06
2019-05,9.17
2019-06,6.62
2019-07,3.25
2019-08,4.83
2019-09,4.57
2019-10,7.52
2019-11,3.0
2019-12,8.55
2020-01,6.73
2020-02,13.46
2020-03,19.59
2020-04,13.22
2020-05,7.54
2020-06,11.17
2020-07,15.23
2020-08,20.1
2020-09,27.34
2020-10,15.54
2020-11,11.53
2020-12,14.91
2021-01,16.56
2021-02,16.4
2021-03,11.43
2021-04,11.84
2021-05,9.77
2021-06,13.42
2021-07,11.88
2021-08,7.6
2021-09,15.19
2021-10,13.43
2021-11,17.43
2021-12,18.49
2022-01,22.79
2022-02,16.21
2022-03,28.34
2022-04,21.87
2022-05,28.67
2022-06,21.15
2022-07,23.58
2022-08,17.33
2022-09,25.23
2022-10,17.4
2022-11,16.42
2022-12,22.27
2023-01,20.91
2023-02,9.9
2023-03,19.59
2023-04,9.58
2023-05,11.51
2023-06,16.15
2023-07,8.37
2023-08,21.61
2023-09,19.27
2023-10,13.82
2023-11,17.48
2023-12,8.68
2024-01,14.0
2024-02,8.66
2024-03,10.66
2024-04,8.77